songId,bpm,releaseDate
Limit Break,153.0,2017-09-07
スローアライズ,185.0,2021-05-28
MUSIC PЯAYER,168.0,2024-04-01
RAD DOGS,140.0,2024-01-11
KONNANじゃないっ！,155.0,2013-07-11
ってゐ！ ～えいえんてゐVer～,156.0,2015-03-19
クローバー♣クラブ,150.0,2015-05-14
"≠彡""/了→",222.0,2020-10-01
Virtual to LIVE,156.0,2020-12-25
Kattobi KEIKYU Rider,220.0,2019-02-07
World's end loneliness,205.0,2022-08-05
World's end BLACKBOX,205.0,2025-07-11
ありふれたせかいせいふく,150.0,2016-04-07
WARNING×WARNING×WARNING,172.0,2018-05-08
Trust,155.0,2024-07-05
Ring,132.0,2024-02-29
MAGENTA POTION,150.0,2023-07-21
Maboroshi,190.0,2020-06-11
キラメキ居残り大戦争,212.0,2021-07-09
Ututu,172.0,2020-07-03
ガランド,93.0,2020-10-01
wheel,136.0,2020-08-21
サヨナラチェーンソー,154.0,2019-12-20
オーケー？　オーライ！,150.0,2021-04-09
The 90's Decision,128.0,2023-04-14
No Limit RED Force,146.0,2022-01-14
ジャンキーナイトタウンオーケストラ,145.0,2022-08-19
はちみつアドベンチャー,160.0,2020-09-04
アスヘノBRAVE,150.0,2020-07-17
Strange Bar,110.0,2021-05-14
Prismatic,180.0,2021-02-05
QUEEN,170.0,2024-03-08
IMAWANOKIWA,178.0,2023-09-14
Y.Y.Y.計画!!!!,186.0,2023-09-01
だれかの心臓になれたなら,145.0,2019-08-22
しゅ～しん？変身☆ハカイシンzzZ,180.0,2025-10-03
U&iVERSE -銀河鸞翔-,140.0,2021-12-16
シリウスの輝きのように,158.0,2024-11-08
おべんきょうたいむ,165.0,2025-10-03
air's gravity,137.0,2012-12-13
Reach For The Stars,203.0,2012-11-07
Paradisoda,135.0,2021-03-18
Now or Never,202.0,2019-10-18
M@GICAL☆CURE! LOVE ♥ SHOT!,192.0,2025-04-11
もぺもぺ,100.0,2021-03-18
さよならヒストリー,180.0,2024-03-21
energy trixxx,160.0,2020-02-07
Mysterious Destiny,140.0,2013-08-07
Her Dream Is To Be A Fantastic Sorceress,170.0,2013-07-11
Shooting Shower～DANCE TIME(シンディ)～,149.0,2023-04-01
カラフル×メロディ,185.0,2019-01-25
ひれ伏せ愚民どもっ！,180.0,2016-10-06
むかしむかしのきょうのぼく,130.0,2014-09-04
サンバランド,132.0,2020-01-10
true my heart -Lovable mix-,135.0,2019-03-22
きゅびびびびずむ,185.0,2025-03-13
エテルニタス・ルドロジー,178.0,2016-10-06
TEmPTaTiON,160.0,2019-12-13
Magical Flavor,98.0,2017-12-14
ストリーミングハート,210.0,2015-09-17
Natural Flow,100.0,2013-01-17
STARRED HEART,140.0,2023-09-01
アンノウン・マザーグース,222.0,2017-12-14
ぽっぴっぽー,150.0,2013-11-14
Let's Go Away,240.0,2018-07-11
ウマイネームイズうまみちゃん,184.0,2020-09-04
エナドリおいしいソング,140.0,2022-12-02
クーネル・エンゲイザー,170.0,2025-06-06
We Gonna Journey,160.0,2018-10-25
あつすぎの歌,180.0,2023-07-07
アウターサイエンス,195.0,2018-06-05
ouroboros -twin stroke of the end-,188.0,2024-04-12
VIIIbit Explorer,188.0,2021-07-21
オトヒメモリー☆ウタゲーション,140.0,2017-07-11
ココロ,140.0,2017-04-18
jelly,128.0,2012-07-11
ULTRA B+K,175.0,2018-09-18
YA･DA･YO [Reborn],105.0,2013-02-20
