Song,Genre,Version,Chart,Difficulty,Level,Achv,Rank,FC/AP,Sync,DX ✦,DX %,DX Score,Chart Constant
M@GICAL☆CURE! LOVE ♥ SHOT!,niconico＆VOCALOID™,PRiSM PLUS (beta),DX,EXPERT,11,100.75%,SSS+,FC,SYNC,2,91.70%,1714/1869,11.2
のだ,niconico＆VOCALOID™,PRiSM PLUS (beta),DX,EXPERT,9+,100.72%,SSS+,FC,FS+,2,92.00%,1223/1329,9.8
ゆりかご,niconico＆VOCALOID™,PRiSM PLUS (beta),DX,EXPERT,9,100.23%,SSS,-,SYNC,1,88.90%,915/1029,9
月光,niconico＆VOCALOID™,PRiSM PLUS (beta),DX,EXPERT,11,100.27%,SSS,FC,SYNC,2,90.40%,1738/1923,11.2
トンデモワンダーズ,niconico＆VOCALOID™,BUDDiES,DX,EXPERT,10,95.28%,AAA,-,SYNC,0,78.90%,1082/1371,10
デビルじゃないもん,niconico＆VOCALOID™,PRiSM (beta),DX,EXPERT,9+,98.71%,S+,FC,SYNC,1,88.50%,1293/1461,9.7
てらてら,niconico＆VOCALOID™,PRiSM (beta),DX,EXPERT,10,96.78%,AAA,-,-,0,80.20%,1270/1584,10.5
バグ,niconico＆VOCALOID™,BUDDiES,DX,EXPERT,10,69.89%,B,-,SYNC,0,49.80%,924/1854,10.2
人マニア,niconico＆VOCALOID™,PRiSM (beta),DX,EXPERT,10+,99.84%,SS+,-,SYNC,1,88.10%,1110/1260,10.9
イガク,niconico＆VOCALOID™,PRiSM (beta),DX,EXPERT,11,100.20%,SSS,FC,SYNC,1,89.80%,1401/1560,11.2
フォニイ,niconico＆VOCALOID™,FESTiVAL,DX,EXPERT,9+,97.13%,S,-,SYNC,0,84.70%,1321/1560,9.8
グッバイ宣言,niconico＆VOCALOID™,UNiVERSE,DX,EXPERT,9+,93.72%,AA,-,-,0,77.60%,1209/1557,9.8
星界ちゃんと可不ちゃんのおつかい合騒曲,niconico＆VOCALOID™,BUDDiES,DX,EXPERT,11+,100.61%,SSS+,FC,SYNC,2,91.30%,1936/2121,11.9
きゅうくらりん,niconico＆VOCALOID™,FESTiVAL,DX,EXPERT,11+,100.50%,SSS,FC,SYNC,1,89.20%,1686/1890,11.6
セカイ,niconico＆VOCALOID™,FESTiVAL PLUS,DX,EXPERT,10,99.22%,SS,-,-,1,85.30%,921/1080,10
にっこり^^調査隊のテーマ,niconico＆VOCALOID™,BUDDiES PLUS,DX,EXPERT,10,100.97%,SSS+,FC+,-,3,94.30%,1380/1464,10.5
セカイはまだ始まってすらいない,niconico＆VOCALOID™,FESTiVAL,DX,EXPERT,8+,88.27%,A,-,SYNC,0,71.60%,812/1134,8.7
アイディスマイル,niconico＆VOCALOID™,BUDDiES PLUS,DX,EXPERT,9+,100.78%,SSS+,FC+,SYNC,1,89.70%,856/954,9.7
熱異常,niconico＆VOCALOID™,BUDDiES,DX,EXPERT,10,99.54%,SS+,-,SYNC,0,80.70%,1302/1614,10.2
バベル,niconico＆VOCALOID™,PRiSM (beta),DX,EXPERT,10,97.20%,S,-,-,0,80.30%,1175/1464,10.5
神っぽいな,niconico＆VOCALOID™,FESTiVAL PLUS,DX,EXPERT,8+,100.03%,SSS,FC,SYNC,1,87.00%,846/972,8.7
魔法少女とチョコレゐト,niconico＆VOCALOID™,FESTiVAL PLUS,DX,EXPERT,9,100.48%,SSS,FC,FS+,1,88.20%,979/1110,9.5
アニマル,niconico＆VOCALOID™,FESTiVAL,DX,EXPERT,10+,100.76%,SSS+,FC,-,3,93.70%,1906/2034,10.8
ジレンマ,niconico＆VOCALOID™,FESTiVAL,DX,EXPERT,10,100.48%,SSS,-,-,3,93.00%,1705/1833,10.2
ヴァンパイア,niconico＆VOCALOID™,UNiVERSE PLUS,DX,EXPERT,10,100.55%,SSS+,FC,-,1,87.60%,1529/1746,10.2
アンドロイドガール,niconico＆VOCALOID™,maimaiでらっくす PLUS,DX,EXPERT,10,100.42%,SSS,FC,-,3,93.20%,1593/1710,10.4
ヒバナ,niconico＆VOCALOID™,FiNALE,STD,EXPERT,11,100.90%,SSS+,FC+,-,3,93.40%,1328/1422,11.1
ゴーストルール,niconico＆VOCALOID™,UNiVERSE,DX,EXPERT,9+,97.39%,S,-,SYNC,0,81.60%,1244/1524,9.8
ゴーストルール,niconico＆VOCALOID™,MURASAKi,STD,EXPERT,10+,98.75%,S+,FC,SYNC,0,79.70%,1270/1593,10.9
ストリーミングハート,niconico＆VOCALOID™,ORANGE PLUS,STD,EXPERT,10+,99.76%,SS+,-,-,1,86.70%,1345/1551,10.7
弱虫モンブラン,niconico＆VOCALOID™,GreeN,STD,EXPERT,10+,100.12%,SSS,FC,-,1,88.40%,708/801,10.9
病み垢ステロイド,niconico＆VOCALOID™,PRiSM (beta),DX,EXPERT,11,100.71%,SSS+,FC,FS+,2,91.90%,1729/1881,11
酔いどれ知らず,niconico＆VOCALOID™,BUDDiES PLUS,DX,EXPERT,8,100.14%,SSS,FC+,SYNC,1,88.00%,829/942,8.5
QUEEN,niconico＆VOCALOID™,BUDDiES,DX,EXPERT,10,99.23%,SS,-,SYNC,1,88.00%,1347/1530,10
KING,niconico＆VOCALOID™,Splash PLUS,DX,EXPERT,9+,94.69%,AAA,-,SYNC,0,76.50%,1198/1566,9.7
