Name,Version,Difficulty,Level,Achievement,Play Count,Last Played
"どぅーまいべすと！","DX","master","12","99.9873%",11,"2026/01/31 14:30"
"スターリースカイ☆パレード","DX","expert","10","100.1076%",2,"2025/10/14 17:53"
"スターリースカイ☆パレード","DX","master","12+","99.4150%",8,"2026/01/09 22:34"
"やめろ！聴くな！","Standard","expert","10","97.3703%",1,"2025/06/20 20:46"
"六兆年と一夜物語","DX","expert","9","97.6820%",2,"2025/03/27 17:35"
"敗北の少年","Standard","expert","11+","98.3562%",1,"2025/08/18 23:21"
"Hand in Hand","Standard","expert","10","96.2458%",1,"2025/06/20 20:59"
"天ノ弱","Standard","expert","11","99.9234%",1,"2025/08/18 23:52"
"おねがいダーリン","Standard","expert","11","100.3049%",7,"2025/10/17 21:35"
"おねがいダーリン","Standard","master","12+","98.6496%",5,"2026/01/31 14:10"
"ロストワンの号哭","Standard","expert","10+","89.9760%",1,"2025/05/27 17:16"
"東京リアルワールド","Standard","expert","9","100.5979%",1,"2025/06/20 20:59"
"Nyan Cat EX","Standard","expert","11+","98.2171%",2,"2026/01/04 23:08"
"木彫り鯰と右肩ゾンビ","Standard","expert","10+","98.5351%",1,"2025/06/20 20:32"
"Help me, ERINNNNNN!!","DX","expert","10+","101.0000%",1,"2025/12/02 18:43"
"超最終鬼畜妹フランドール・S","DX","expert","12+","96.5119%",1,"2025/12/12 22:09"
"有頂天ドリーマーズ","DX","expert","10+","100.5338%",1,"2026/01/22 15:51"
"有頂天ドリーマーズ","DX","master","13","92.2216%",1,"2026/01/31 14:43"
"インターネットサバイバー","DX","expert","11","100.5267%",5,"2025/08/22 17:49"
"インターネットサバイバー","DX","master","13","92.0258%",1,"2026/01/17 20:33"
"マツヨイナイトバグ","DX","expert","10+","99.6781%",5,"2025/08/20 22:09"
"幻想に咲いた花","DX","expert","9+","93.2640%",1,"2025/03/27 17:35"
"三妖精SAY YA!!!","DX","expert","10","100.3173%",2,"2025/07/08 20:30"
"響け！CHIREI MY WAY!","DX","expert","9","100.1481%",1,"2025/07/09 19:56"
"響け！CHIREI MY WAY!","DX","master","12+","95.0402%",3,"2026/01/21 17:41"
"全力ハッピーライフ","DX","expert","10","100.5085%",3,"2025/12/09 19:54"
"全力ハッピーライフ","DX","master","12+","99.6857%",14,"2026/01/25 20:59"
"Idoratrize World","DX","expert","10","99.1265%",1,"2025/07/28 19:56"
"Ultimate taste","DX","expert","11","99.9728%",2,"2025/09/19 00:50"
"Re:Unknown X","DX","expert","12","98.4371%",4,"2026/01/31 18:10"
"月に叢雲華に風","Standard","expert","10","99.9245%",3,"2025/07/02 20:05"
"つるぺったん","DX","expert","10","99.1787%",1,"2025/07/08 20:43"
"つるぺったん","DX","master","12","99.9301%",4,"2026/01/31 14:54"
"ケロ⑨destiny","DX","expert","10","99.2738%",1,"2025/07/07 20:12"
"蒼空に舞え、墨染の桜","Standard","expert","11","100.3863%",2,"2025/12/12 21:27"
"Bad Apple!! feat.nomico","Standard","expert","10+","99.3998%",3,"2025/07/22 20:40"
"Bad Apple!! feat.nomico","Standard","master","12","98.9482%",8,"2026/01/31 17:37"
"Witches night","DX","expert","9","98.5942%",2,"2025/06/17 20:03"
"Witches night","DX","master","12+","93.8235%",1,"2026/01/21 17:29"
"Unwelcome School","DX","expert","10+","100.9096%",1,"2026/01/22 15:51"
"Unwelcome School","DX","master","12","99.1922%",7,"2026/01/31 17:20"
"Hurtling Boys","DX","expert","12+","97.9709%",1,"2026/01/31 17:53"
"Restricted Access","DX","expert","11","100.6911%",2,"2026/01/31 17:37"
"胡蝶乃舞","DX","expert","11+","100.5873%",1,"2026/01/31 14:54"
"零號車輛","DX","expert","12+","98.5147%",2,"2026/01/31 18:10"
"Destined Marionette","DX","expert","12","98.9036%",1,"2025/12/18 16:10"
"Overjoy ★ OVERDOSE!!","DX","expert","11","98.6296%",1,"2025/08/22 19:05"
"NightTheater","DX","expert","11+","97.6066%",1,"2025/08/18 22:50"
"HYP3RTRIBE","DX","expert","11+","98.9370%",1,"2025/08/20 21:53"
"MYTH Re：LEASE","DX","expert","12+","94.5941%",1,"2026/01/25 21:23"
"How To Make 音ゲ～曲！","DX","expert","12","98.3802%",1,"2025/08/18 20:44"
"お願い！コンコンお稲荷さま","DX","expert","10","98.8484%",1,"2025/07/07 20:12"
"いっぱい食べる君が好きだよ","DX","expert","10+","100.6662%",5,"2025/08/26 15:50"
"ピポピポ -People People- feat. ななひら","DX","expert","11","100.5485%",11,"2025/09/13 16:56"
"NO ONE YES MAN","DX","expert","12","100.2473%",1,"2025/12/21 00:40"
"Leave All Behind","DX","expert","11","100.7973%",2,"2026/01/02 15:39"
"Retribution ～ Cycle of Redemption ～","DX","expert","13","97.3699%",1,"2026/01/04 22:47"
"Luminescence","DX","expert","11","99.5185%",2,"2026/01/06 16:52"
"OMAKENO Stroke","DX","expert","11+","100.2966%",2,"2025/08/27 16:40"
"FUJIN Rumble","Standard","expert","11+","96.5528%",1,"2025/08/20 21:53"
"DANGEROOOOUS JUNGLE","DX","expert","11+","100.3523%",1,"2025/08/07 21:11"
"僕の和風本当上手","DX","expert","12","97.9365%",6,"2025/12/26 22:34"
"Cthugha","DX","expert","12","100.5126%",4,"2025/12/02 18:55"
"迷える音色は恋の唄","DX","expert","10+","95.9387%",1,"2025/07/07 20:24"
"Löschen","DX","expert","11","99.4053%",2,"2025/12/18 15:53"
"最強STRONGER","DX","expert","12+","94.3333%",1,"2025/08/07 21:49"
"Lost Desire","DX","expert","11+","100.4720%",2,"2025/12/18 15:33"
"ULTRA SYNERGY MATRIX","DX","expert","12","99.8056%",2,"2025/09/19 00:50"
"ENERGY SYNERGY MATRIX","DX","expert","11","99.0846%",1,"2025/12/18 15:53"
"ENERGY SYNERGY MATRIX","Standard","expert","13","98.8889%",7,"2026/01/02 16:01"
"竹","DX","expert","12","98.6971%",1,"2025/08/07 21:30"
"れっつ！みらくる☆はーどこあっ！","DX","expert","11+","100.5764%",3,"2026/01/07 16:42"
"Sound Chimera","DX","expert","12","91.8449%",1,"2025/12/18 16:54"
